id,name,description,url,category,language,country
bbc-sport,BBC Sport,"The home of BBC Sport online. Includes live sports coverage, breaking news, results, video, audio and analysis on Football, F1, Cricket, Rugby Union, Rugby League, Golf, Tennis and all the main world sports, plus major events such as the Olympic Games.",http://www.bbc.co.uk/sport,sports,en,gb
bleacher-report,Bleacher Report,"Sports journalists and bloggers covering NFL, MLB, NBA, NHL, MMA, college football and basketball, NASCAR, fantasy sports and more. News, photos, mock drafts, game scores, player profiles and more!",http://www.bleacherreport.com,sports,en,us
espn,ESPN,"ESPN has up-to-the-minute sports news coverage, scores, highlights and commentary for NFL, MLB, NBA, College Football, NCAA Basketball and more.",http://espn.go.com,sports,en,us
espn-cric-info,ESPN Cric Info,"ESPN Cricinfo provides the most comprehensive cricket coverage available including live ball-by-ball commentary, news, unparalleled statistics, quality editorial comment and analysis.",http://www.espncricinfo.com/,sports,en,us
football-italia,Football Italia,"Italian football news, analysis, fixtures and results for the latest from Serie A, Serie B and the Azzurri.",http://www.football-italia.net,sports,en,it
four-four-two,FourFourTwo,"The latest football news, in-depth features, tactical and statistical analysis from FourFourTwo, the UK&#039;s favourite football monthly.",http://www.fourfourtwo.com/news,sports,en,gb
fox-sports,Fox Sports,"Find live scores, player and team news, videos, rumors, stats, standings, schedules and fantasy games on FOX Sports.",http://www.foxsports.com,sports,en,us
nfl-news,NFL News,"The official source for NFL news, schedules, stats, scores and more.",http://www.nfl.com/news,sports,en,us
nhl-news,NHL News,"The most up-to-date breaking hockey news from the official source including interviews, rumors, statistics and schedules.",https://www.nhl.com/news,sports,en,us
talksport,TalkSport,"Tune in to the world's biggest sports radio station - Live Premier League football coverage, breaking sports news, transfer rumours &amp; exclusive interviews.",http://talksport.com,sports,en,gb
the-sport-bible,The Sport Bible,TheSPORTbible is one of the largest communities for sports fans across the world. Send us your sporting pictures and videos!,https://www.thesportbible.com,sports,en,gb
